estado,area_km2
Chihuahua,"247,412.60"
Sonora,"179,354.70"
Coahuila,"151,594.80"
Durango,"123,364.00"
Oaxaca,"93,757.60"
Tamaulipas,"80,249.30"
Jalisco,"78,595.90"
Zacatecas,"75,275.30"
Baja California Sur,"73,909.40"
Chiapas,"73,311.00"
Veracruz,"71,823.50"
Baja California,"71,450.00"
Nuevo León,"64,156.20"
Guerrero,"63,595.90"
San Luis Potosí,"61,138.00"
Michoacán,"58,598.70"
Campeche,"57,484.90"
Sinaloa,"57,365.40"
Quintana Roo,"44,705.20"
Yucatán,"39,524.40"
Puebla,"34,309.60"
Guanajuato,"30,606.70"
Nayarit,"27,856.50"
Tabasco,"24,730.90"
México,"22,351.80"
Hidalgo,"20,821.40"
Querétaro,"11,690.60"
Colima,"5,626.90"
Aguascalientes,"5,615.70"
Morelos,"4,878.90"
Tlaxcala,"3,996.60"
Ciudad de México,"1,494.30"