estado,poblacion
Aguascalientes,"1,471,859.00"
Baja California,"3,744,415.00"
Baja California Sur,"837,168.00"
Campeche,"1,033,223.00"
Chiapas,"5,893,520.00"
Chihuahua,"3,870,381.00"
Ciudad de México,"8,986,774.00"
Coahuila de Zaragoza,"3,303,220.00"
Colima,"809,115.00"
Durango,"1,899,856.00"
Guanajuato,"6,331,142.00"
Guerrero,"3,679,821.00"
Hidalgo,"3,155,581.00"
Jalisco,"8,569,204.00"
Michoacán de Ocampo,"4,889,123.00"
Morelos,"2,085,423.00"
México,"17,772,460.00"
Nayarit,"1,323,404.00"
Nuevo León,"5,760,358.00"
Oaxaca,"4,186,832.00"
Puebla,"6,723,431.00"
Querétaro,"2,358,758.00"
Quintana Roo,"1,798,913.00"
San Luis Potosí,"2,904,652.00"
Sinaloa,"3,205,838.00"
Sonora,"3,146,894.00"
Tabasco,"2,626,490.00"
Tamaulipas,"3,708,008.00"
Tlaxcala,"1,410,744.00"
Veracruz de Ignacio de la Llave,"8,634,299.00"
Yucatán,"2,308,370.00"
Zacatecas,"1,689,080.00"